Counting,1 to 10
Bowing,Seiza
Maegeri,Front kick
Oizuki,Front Lunge Punch
Press up,Press up
Sit up,Sit up
Squats,Squats
Ground fighting,Chest pin
Sparring,Punching
Sparring,Kicking
Gedan Bari,Downwards sweeping block
Gyakazuki,Reverse Punch
Mawashigeri,Roundhouse kick
Sokuto Hiza,Side Thrusting kick to knee
Sokuto,Side thrusting kick
Zenkutsudachi,Forward leaning stance
Jodan Kiage uke,Rising head block
Soto uke,Block to outside
Box Spits,Box splits
Nunchucks,Nunchucks
Star Jumps,Star Jumps
Neko Ashi Dachi,Cat Stance
Uraken,Back fist
Empi Zuki,Elbow strike
Ushiro Geri,Back kick
Nidan Geri,Jumping kick
Forward breakfall,Roll
Backward Breakfall,Back
O'Goshi,Hip throw
Tiatoshi,Leg sweep throw
Seiza,Seiza
Striking,Striking
Mikazukageri,Crescent Kick
Defences,Defences
Gold press up,Gold Press up
Gold Sit up,Gold sit up
Gold Squats,Gold Squats
Tokiyoko,Tokiyoko
Pinan Nidan,Pinan Nidan
Pinan Shodan,Pinan Shodan
Pinan Sandan,Pinan Sandan
Pinan Yodan,Pinan Yodan
Pinan Godan,Pinan Godan
Kushanku,Kushanku
Naihanchi,Naihanchi
Chinto,Chinto
Bo/Jo,Bo/Jo
Kiba Dachi,Horse Riding Stance
